Время	Канал A	Канал B
(uс)	(mВ)	(mВ)

-9.11740935	0.38151630	3.23678400
-9.09240935	1.43450100	3.15742900
-9.06740935	1.83127800	3.14979800
-9.04240935	1.55658600	3.21999800
-9.01740936	1.23611300	3.24288800
-8.99240936	0.83933580	3.21694500
-8.96740936	0.54938340	3.21389300
-8.94240936	0.39677690	3.23220600
-8.91740936	0.19838850	3.25204500
-8.89240936	-0.01526065	3.27646200
-8.86740937	0.19838850	3.26577900
-8.84240937	0.82407520	3.22305000
-8.81740937	1.12928800	3.21236700
-8.79240937	1.11402800	3.23068000
-8.76740937	0.90037840	3.25051900
-8.74240937	0.50360150	3.27035800
-8.71740937	0.10682460	3.28104000
-8.69240938	-0.25943110	3.27798800
-8.66740938	-0.33573430	3.27798800
-8.64240938	-0.09156390	3.27798800
-8.61740938	0.03052130	3.27951400
-8.59240938	0.03052130	3.28867100
-8.56740938	-0.07630325	3.24746700
-8.54240938	-0.32047370	3.15895500
-8.51740939	-0.32047370	3.14979800
-8.49240939	-0.07630325	3.22457600
-8.46740939	0.03052130	3.22610200
-8.44240939	0.06104260	3.15742900
-8.41740939	-0.16786720	3.13759000
-8.39240939	-0.64094730	3.16811100
-8.36740939	-0.61042600	3.16963700
-8.34240940	-0.07630325	3.14522000
-8.31740940	-0.16786720	3.13606400
-8.29240940	-0.85459640	3.14216800
-8.26740940	-1.17507000	3.12080300
-8.24240940	-1.11402800	3.06891700
-8.21740940	-1.09876700	3.10706900
-8.19240941	-1.09876700	3.22305000
-8.16740941	-1.11402800	3.32224400
-8.14240941	-1.20559100	3.38939100
-8.11740941	-0.79355380	3.43822500
-8.09240941	0.06104260	3.46264200
-8.06740941	0.27469170	3.39854700
-8.04240941	-0.18312780	3.24899300
-8.01740942	-0.50360150	3.23068000
-7.99240942	-0.71725060	3.35276500
-7.96740942	-0.61042600	3.36192200
-7.94240942	-0.15260650	3.25814900
-7.91740942	0.04578195	3.27646200
-7.89240942	-0.01526065	3.41686000
-7.86740942	0.06104260	3.43059400
-7.84240943	0.25943110	3.32377000
-7.81740943	0.25943110	3.24288800
-7.79240943	0.04578195	3.18489800
-7.76740943	0.04578195	3.18642400
-7.74240943	0.25943110	3.25051900
-7.71740943	0.25943110	3.30087900
-7.69240943	0.06104260	3.34055700
-7.66740944	-0.01526065	3.32834800
-7.64240944	0.00000000	3.26577900
-7.61740944	0.00000000	3.22610200
-7.59240944	0.00000000	3.20778900
-7.56740944	0.00000000	3.23220600
-7.54240944	0.03052130	3.30087900
-7.51740945	-0.09156390	3.29782700
-7.49240945	-0.33573430	3.22152400
-7.46740945	-0.25943110	3.24288800
-7.44240945	0.15260650	3.36497400
-7.41740945	0.36625560	3.33597900
-7.39240945	0.33573430	3.15895500
-7.36740945	0.24417040	3.11012100
-7.34240946	0.06104260	3.19100200
-7.31740946	-0.01526065	3.20168500
-7.29240946	0.01526065	3.14827300
